19:39:36 [Skill] INFO  Skill:137 - Connecting to Furhat server on 192.168.0.100:1932
19:39:36 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:36 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:36 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:37 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:37 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:37 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:37 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:37 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:37 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:37 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:37 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:37 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:38 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:38 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:38 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:38 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:38 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:38 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:38 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:38 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:38 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:38 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:39 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:39 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:39 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:39 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:39 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:39 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:39 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:39 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:39 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:39 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:40 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:40 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:40 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:40 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:40 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:40 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:40 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:40 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:40 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:41 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:41 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:41 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:41 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:41 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:41 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:41 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:41 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:41 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:41 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
19:39:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
